E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.75,-40.5,5.522330836
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.75,-50,6.105243536
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.75,-40.5,5.485515297
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.75,-49.5,5.95798138
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.75,-50,5.847534763
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.75,-40.5,5.479379374
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.75,-49.5,5.896622149
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.75,-40.5,5.516194913
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.75,-50.5,0.472466083
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.75,-39.5,0.09817477
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.75,-39.5,0.092038847
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.75,-50.5,0.56450493
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.75,-50.5,0.521553468
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.75,-39,0.110446617
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.75,-39.5,0.128854386
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.75,-50.5,0.417242774
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.75,-39.5,0.092038847
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.75,-50,0.490873852
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.25,-50,5.712544454
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.25,-40.5,5.368932758
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.25,-40.5,5.301437603
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.25,-50,5.896622149
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.25,-49.5,5.804583301
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.25,-40.5,5.368932758
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.25,-40.5,5.424156066
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.25,-49,5.847534763
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.25,-40.5,5.29530168
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.25,-49.5,5.878214379
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-39.5,6.234097922
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50,0.44792239
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50.5,0.319068004
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-40,6.215690153
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-39.5,6.277049384
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50,0.288388388
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-39.5,6.197282383
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50.5,0.33133985
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50,0.319068004
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.780039609
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-50,6.166602767
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.761631839
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.804583301
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-50,6.080699843
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-50.5,6.264777538
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.730952224
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.737088147
